
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado
  TCP    127.0.0.1:53793        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53794        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53795        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53796        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53797        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53798        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53799        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53800        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53801        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53802        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53803        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53804        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53805        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53806        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53807        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53808        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53809        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53810        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53811        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53813        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53814        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53815        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53816        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53817        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53818        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53819        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53820        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53821        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53822        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53823        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53824        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53825        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53826        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53827        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53828        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53829        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53830        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53831        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53832        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53834        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53835        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53836        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53837        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53838        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53839        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:53841        127.0.0.1:49350        TIME_WAIT
